time,ping,download,upload
08-03-2023-12-32-00,13.276ms,134.62Mbit/s,126.92Mbit/s
08-03-2023-12-32-25,13.684000000000001ms,149.98Mbit/s,86.11Mbit/s
08-03-2023-12-32-56,58.101ms,156.58Mbit/s,10.75Mbit/s
08-03-2023-12-34-31,47.873999999999995ms,46.92Mbit/s,127.21Mbit/s
08-03-2023-12-34-56,39.094ms,81.75Mbit/s,106.32Mbit/s
08-03-2023-12-35-21,15.652000000000001ms,179.45Mbit/s,24.97Mbit/s
08-03-2023-12-36-31,61.678ms,97.72Mbit/s,30.93Mbit/s
08-03-2023-12-37-56,58.132ms,82.93Mbit/s,11.87Mbit/s
08-03-2023-12-38-21,59.351ms,184.50Mbit/s,20.61Mbit/s
08-03-2023-12-39-39,60.61ms,65.91Mbit/s,118.86Mbit/s
08-03-2023-12-40-04,29.199ms,123.10Mbit/s,115.02Mbit/s
08-03-2023-12-40-29,14.119ms,151.62Mbit/s,67.27Mbit/s
08-03-2023-12-40-56,72.081ms,39.18Mbit/s,14.46Mbit/s
08-03-2023-12-41-21,46.808ms,122.89Mbit/s,23.77Mbit/s
08-03-2023-12-41-46,13.456ms,140.22Mbit/s,12.87Mbit/s
08-03-2023-12-42-11,44.589ms,57.71Mbit/s,17.60Mbit/s
08-03-2023-12-43-59,63.18ms,35.37Mbit/s,5.23Mbit/s
08-03-2023-12-44-49,63.239ms,111.11Mbit/s,17.99Mbit/s
08-03-2023-12-45-15,64.12899999999999ms,146.77Mbit/s,20.69Mbit/s
08-03-2023-12-46-19,55.709999999999994ms,128.13Mbit/s,31.94Mbit/s
08-03-2023-12-46-44,52.325ms,143.16Mbit/s,17.37Mbit/s
08-03-2023-12-47-09,48.928000000000004ms,130.79Mbit/s,15.47Mbit/s
08-03-2023-12-47-34,44.363ms,119.41Mbit/s,17.11Mbit/s
08-03-2023-12-49-22,56.481ms,38.81Mbit/s,8.20Mbit/s
08-03-2023-12-49-58,57.844ms,2.04Mbit/s,18.49Mbit/s
08-03-2023-12-51-46,78.386ms,27.78Mbit/s,5.46Mbit/s
08-03-2023-12-52-34,68.663ms,174.49Mbit/s,25.65Mbit/s
08-03-2023-12-52-59,52.55ms,170.49Mbit/s,36.72Mbit/s
08-03-2023-12-54-04,43.653ms,82.43Mbit/s,117.39Mbit/s
08-03-2023-12-54-29,16.320999999999998ms,148.90Mbit/s,83.23Mbit/s
08-03-2023-12-54-55,49.168ms,125.72Mbit/s,24.11Mbit/s
08-03-2023-12-55-20,13.927999999999999ms,81.31Mbit/s,118.98Mbit/s
08-03-2023-12-55-45,52.601000000000006ms,163.54Mbit/s,25.85Mbit/s
08-03-2023-12-57-34,25.3ms,36.85Mbit/s,3.30Mbit/s
08-03-2023-12-58-48,85.685ms,85.52Mbit/s,20.96Mbit/s
08-03-2023-12-59-13,59.303999999999995ms,143.70Mbit/s,11.71Mbit/s
08-03-2023-12-59-56,57.12ms,142.41Mbit/s,23.46Mbit/s
08-03-2023-13-00-21,13.221ms,154.81Mbit/s,120.60Mbit/s
08-03-2023-13-00-46,13.870999999999999ms,177.35Mbit/s,42.30Mbit/s
08-03-2023-13-01-11,51.481ms,140.02Mbit/s,10.85Mbit/s
08-03-2023-13-02-56,58.095000000000006ms,19.57Mbit/s,0.00Mbit/s