time,host,ip,period,icmp,ttl,rtt,trans_pack,recv_pack,pack_loss,min/avg/max/mdev
23-03-2023-10-54-47,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=84.4,ms,packets,"received,",packet,ms
23-03-2023-10-55-07,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=87.5,ms,packets,"received,",packet,ms
23-03-2023-10-55-28,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=84.4,ms,packets,"received,",packet,ms
23-03-2023-10-55-48,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=85.4,ms,packets,"received,",packet,ms
23-03-2023-10-56-08,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=100,ms,packets,"received,",packet,ms
23-03-2023-10-56-28,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=88.0,ms,packets,"received,",packet,ms
23-03-2023-10-56-48,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=120,ms,packets,"received,",packet,ms
23-03-2023-10-57-08,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=88.1,ms,packets,"received,",packet,ms
23-03-2023-10-57-28,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=97.8,ms,packets,"received,",packet,ms
23-03-2023-10-57-49,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=92.3,ms,packets,"received,",packet,ms
23-03-2023-10-58-09,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=144,ms,packets,"received,",packet,ms
23-03-2023-10-58-29,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=92.2,ms,packets,"received,",packet,ms
23-03-2023-10-58-39,E
23-03-2023-10-58-59,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=77.4,ms,packets,"received,",packet,ms
23-03-2023-10-59-19,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=99.1,ms,packets,"received,",packet,ms
23-03-2023-10-59-39,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=74.0,ms,packets,"received,",packet,ms
23-03-2023-10-59-59,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=82.3,ms,packets,"received,",packet,ms
23-03-2023-11-00-20,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=153,ms,packets,"received,",packet,ms
23-03-2023-11-00-40,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=80.6,ms,packets,"received,",packet,ms
23-03-2023-11-01-00,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=83.3,ms,packets,"received,",packet,ms
23-03-2023-11-01-20,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=158,ms,packets,"received,",packet,ms
23-03-2023-11-01-30,E
23-03-2023-11-01-50,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=90.8,ms,packets,"received,",packet,ms
23-03-2023-11-02-10,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=96.8,ms,packets,"received,",packet,ms
23-03-2023-11-02-30,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=116,ms,packets,"received,",packet,ms
23-03-2023-11-02-50,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=86.9,ms,packets,"received,",packet,ms
23-03-2023-11-03-11,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=105,ms,packets,"received,",packet,ms
23-03-2023-11-03-31,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=82.3,ms,packets,"received,",packet,ms
23-03-2023-11-03-51,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=73.3,ms,packets,"received,",packet,ms
23-03-2023-11-04-11,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=95.1,ms,packets,"received,",packet,ms
23-03-2023-11-04-31,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=78.2,ms,packets,"received,",packet,ms
23-03-2023-11-04-51,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=78.1,ms,packets,"received,",packet,ms
23-03-2023-11-05-01,E
23-03-2023-11-05-21,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=201,ms,packets,"received,",packet,ms
23-03-2023-11-05-42,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=124,ms,packets,"received,",packet,ms
23-03-2023-11-06-02,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=116,ms,packets,"received,",packet,ms
23-03-2023-11-06-22,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=189,ms,packets,"received,",packet,ms
23-03-2023-11-06-42,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=91.1,ms,packets,"received,",packet,ms
23-03-2023-11-07-02,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=87.6,ms,packets,"received,",packet,ms
23-03-2023-11-07-22,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=226,ms,packets,"received,",packet,ms
23-03-2023-11-07-43,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=89.0,ms,packets,"received,",packet,ms
23-03-2023-11-08-03,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=102,ms,packets,"received,",packet,ms
23-03-2023-11-08-23,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=95.3,ms,packets,"received,",packet,ms
23-03-2023-11-08-43,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=96.8,ms,packets,"received,",packet,ms
23-03-2023-11-09-03,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=85.6,ms,packets,"received,",packet,ms
23-03-2023-11-09-23,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=91.0,ms,packets,"received,",packet,ms
23-03-2023-11-09-43,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=99.9,ms,packets,"received,",packet,ms
23-03-2023-11-10-03,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=87.9,ms,packets,"received,",packet,ms
23-03-2023-11-10-14,E
23-03-2023-11-10-24,E
23-03-2023-11-10-34,E
23-03-2023-11-10-54,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=89.9,ms,packets,"received,",packet,ms
23-03-2023-11-11-14,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=85.1,ms,packets,"received,",packet,ms
23-03-2023-11-11-34,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=94.8,ms,packets,"received,",packet,ms
23-03-2023-11-11-54,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=115,ms,packets,"received,",packet,ms
23-03-2023-11-12-14,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=97.5,ms,packets,"received,",packet,ms
23-03-2023-11-12-34,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=101,ms,packets,"received,",packet,ms
23-03-2023-11-12-54,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=107,ms,packets,"received,",packet,ms
23-03-2023-11-13-15,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=88.2,ms,packets,"received,",packet,ms
23-03-2023-11-13-35,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=98.8,ms,packets,"received,",packet,ms
23-03-2023-11-13-55,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=106,ms,packets,"received,",packet,ms
23-03-2023-11-14-15,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=91.9,ms,packets,"received,",packet,ms
23-03-2023-11-14-35,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=84.5,ms,packets,"received,",packet,ms
23-03-2023-11-14-55,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=94.6,ms,packets,"received,",packet,ms
23-03-2023-11-15-15,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=86.4,ms,packets,"received,",packet,ms
23-03-2023-11-15-36,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=86.2,ms,packets,"received,",packet,ms
23-03-2023-11-15-46,E
23-03-2023-11-16-06,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=88.7,ms,packets,"received,",packet,ms
23-03-2023-11-16-26,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=88.3,ms,packets,"received,",packet,ms
23-03-2023-11-16-46,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=84.1,ms,packets,"received,",packet,ms
23-03-2023-11-17-06,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=82.7,ms,packets,"received,",packet,ms
23-03-2023-11-17-26,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=88.5,ms,packets,"received,",packet,ms
23-03-2023-11-17-46,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=79.9,ms,packets,"received,",packet,ms
23-03-2023-11-18-06,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=85.1,ms,packets,"received,",packet,ms
23-03-2023-11-18-26,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=79.0,ms,packets,"received,",packet,ms
23-03-2023-11-18-47,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=104,ms,packets,"received,",packet,ms
23-03-2023-11-19-07,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=93.2,ms,packets,"received,",packet,ms
23-03-2023-11-19-27,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=92.5,ms,packets,"received,",packet,ms
23-03-2023-11-19-47,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=77.8,ms,packets,"received,",packet,ms
23-03-2023-11-20-07,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=76.5,ms,packets,"received,",packet,ms
23-03-2023-11-20-27,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=87.6,ms,packets,"received,",packet,ms
23-03-2023-11-20-47,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=86.2,ms,packets,"received,",packet,ms
23-03-2023-11-21-07,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=77.0,ms,packets,"received,",packet,ms
23-03-2023-11-21-28,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=82.4,ms,packets,"received,",packet,ms
23-03-2023-11-21-48,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=76.3,ms,packets,"received,",packet,ms
23-03-2023-11-22-08,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=83.3,ms,packets,"received,",packet,ms
23-03-2023-11-22-28,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=87.5,ms,packets,"received,",packet,ms
23-03-2023-11-22-48,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=84.2,ms,packets,"received,",packet,ms
23-03-2023-11-23-08,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=88.6,ms,packets,"received,",packet,ms
23-03-2023-11-23-28,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=91.0,ms,packets,"received,",packet,ms
23-03-2023-11-23-48,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=147,ms,packets,"received,",packet,ms
23-03-2023-11-24-09,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=99.2,ms,packets,"received,",packet,ms
23-03-2023-11-24-29,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=76.0,ms,packets,"received,",packet,ms
